element_id,start_node,end_node,start_label,end_label,member_role,element_type,section_name,b1_mm,b2_mm,t_mm,E_N_per_mm2,G_N_per_mm2,parent_element_id,split_order,station_mm_from_reference_node,reference_node,source_note
6,0,3,center,top_xneg_ypos,center_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,6.0,,,,original_frame_unsplit
7,0,4,center,top_xneg_yneg,center_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,7.0,,,,original_frame_unsplit
8,0,5,center,top_xpos_ypos,center_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,8.0,,,,original_frame_unsplit
9,0,6,center,top_xpos_yneg,center_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,9.0,,,,original_frame_unsplit
10,3,4,top_xneg_ypos,top_xneg_yneg,top_square_y_side,frame,L80x80x5,80.0,80.0,5.0,210000.0,81000.0,10.0,,,,original_frame_unsplit
12,6,5,top_xpos_yneg,top_xpos_ypos,top_square_y_side,frame,L80x80x5,80.0,80.0,5.0,210000.0,81000.0,12.0,,,,original_frame_unsplit
18,7,9,base_xneg_ypos,base_xpos_ypos,bottom_square,frame,L102x89x6.4,102.0,89.0,6.4,210000.0,81000.0,18.0,,,,original_frame_unsplit
20,10,8,base_xpos_yneg,base_xneg_yneg,bottom_square,frame,L102x89x6.4,102.0,89.0,6.4,210000.0,81000.0,20.0,,,,original_frame_unsplit
22,0,11,center,te5_e00_d2020_from_base,load_point_to_center,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,0.0,0.0,,0.0,split_frame_segment
23,11,12,te5_e00_d2020_from_base,te5_e00_d3228_from_base,load_point_to_center,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,0.0,1.0,,0.0,split_frame_segment
24,12,1,te5_e00_d3228_from_base,high_xneg,load_point_to_center,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,0.0,2.0,,0.0,split_frame_segment
25,0,13,center,te5_e01_d2020_from_base,load_point_to_center,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,1.0,0.0,,0.0,split_frame_segment
26,13,14,te5_e01_d2020_from_base,te5_e01_d3228_from_base,load_point_to_center,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,1.0,1.0,,0.0,split_frame_segment
27,14,2,te5_e01_d3228_from_base,high_xpos,load_point_to_center,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,1.0,2.0,,0.0,split_frame_segment
28,1,17,high_xneg,te5_e02_d4015_from_base,load_point_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,2.0,0.0,,3.0,split_frame_segment
29,17,16,te5_e02_d4015_from_base,te5_e02_d3185_from_base,load_point_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,2.0,1.0,,3.0,split_frame_segment
30,16,15,te5_e02_d3185_from_base,te5_e02_d1530_from_base,load_point_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,2.0,2.0,,3.0,split_frame_segment
31,15,3,te5_e02_d1530_from_base,top_xneg_ypos,load_point_to_top,frame,L90x90x7,90.0,90.0,7.0,210000.0,81000.0,2.0,3.0,,3.0,split_frame_segment
