element_id,start_node,end_node,start_label,end_label,member_role,element_type,section_name,b1_mm,b2_mm,t_mm,E_N_per_mm2,G_N_per_mm2,parent_element_id,split_order,station_mm_from_reference_node,reference_node,source_note
6,0,3,center,top_xneg_ypos,center_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,6.0,,,,
7,0,4,center,top_xneg_yneg,center_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,7.0,,,,
8,0,5,center,top_xpos_ypos,center_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,8.0,,,,
9,0,6,center,top_xpos_yneg,center_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,9.0,,,,
11,4,6,top_xneg_yneg,top_xpos_yneg,top_square_x_side,frame,L89x76x6.4,89.0,76.0,6.4,210000.0,81000.0,11.0,,,,
13,5,3,top_xpos_ypos,top_xneg_ypos,top_square_x_side,frame,L89x76x6.4,89.0,76.0,6.4,210000.0,81000.0,13.0,,,,
18,7,9,base_xneg_ypos,base_xpos_ypos,bottom_square,frame,L89x89x6.4,89.0,89.0,6.4,210000.0,81000.0,18.0,,,,
20,10,8,base_xpos_yneg,base_xneg_yneg,bottom_square,frame,L89x89x6.4,89.0,89.0,6.4,210000.0,81000.0,20.0,,,,
22,1,13,high_xneg,z5_e02_top_xneg_ypos_d4906,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,2.0,0.0,,3.0,
23,13,12,z5_e02_top_xneg_ypos_d4906,z5_e02_top_xneg_ypos_d3918,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,2.0,1.0,,3.0,
24,12,11,z5_e02_top_xneg_ypos_d3918,z5_e02_top_xneg_ypos_d1942,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,2.0,2.0,,3.0,
25,11,3,z5_e02_top_xneg_ypos_d1942,top_xneg_ypos,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,2.0,3.0,,3.0,
26,1,16,high_xneg,z5_e03_top_xneg_yneg_d4906,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,3.0,0.0,,4.0,
27,16,15,z5_e03_top_xneg_yneg_d4906,z5_e03_top_xneg_yneg_d3918,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,3.0,1.0,,4.0,
28,15,14,z5_e03_top_xneg_yneg_d3918,z5_e03_top_xneg_yneg_d1942,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,3.0,2.0,,4.0,
29,14,4,z5_e03_top_xneg_yneg_d1942,top_xneg_yneg,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,3.0,3.0,,4.0,
30,2,19,high_xpos,z5_e04_top_xpos_ypos_d4906,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,4.0,0.0,,5.0,
31,19,18,z5_e04_top_xpos_ypos_d4906,z5_e04_top_xpos_ypos_d3918,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,4.0,1.0,,5.0,
32,18,17,z5_e04_top_xpos_ypos_d3918,z5_e04_top_xpos_ypos_d1942,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,4.0,2.0,,5.0,
33,17,5,z5_e04_top_xpos_ypos_d1942,top_xpos_ypos,load_point_to_top,frame,L102x102x6.4,102.0,102.0,6.4,210000.0,81000.0,4.0,3.0,,5.0,
