node_id,x,y,z,node_label,node_group,is_fixed_support,is_load_point,created_on_parent_element_id,station_mm_from_reference_node,reference_node,reference_node_label
0,0.0,0.0,3500.0,center,center,False,False,,,,
1,-4200.000000000002,-1e-12,7099.999999999999,high_xneg,high,False,True,,,,
2,4199.999999999999,0.0,7100.000000000001,high_xpos,high,False,True,,,,
3,-1200.0,1200.0,2000.0,top_xneg_ypos,top,False,False,,,,
4,-1200.0,-1200.0,2000.0,top_xneg_yneg,top,False,False,,,,
5,1200.0,1200.0,2000.0,top_xpos_ypos,top,False,False,,,,
6,1200.0,-1200.0,2000.0,top_xpos_yneg,top,False,False,,,,
7,-1319.5,1319.5,0.0,base_xneg_ypos,base,True,False,,,,
8,-1319.5,-1319.5,0.0,base_xneg_yneg,base,True,False,,,,
9,1319.5,1319.5,0.0,base_xpos_ypos,base,True,False,,,,
10,1319.5,-1319.5,0.0,base_xpos_yneg,base,True,False,,,,
11,-2164.98755828991,814.004976684036,3640.478849092845,z5_e02_top_xneg_ypos_d1942,inserted_truss_node,False,False,2.0,1942.0,3.0,top_xneg_ypos
12,-3146.869852409818,421.2520590360728,5309.678749096687,z5_e02_top_xneg_ypos_d3918,inserted_truss_node,False,False,2.0,3918.0,3.0,top_xneg_ypos
13,-3637.810999469772,224.87560021209103,6144.278699098609,z5_e02_top_xneg_ypos_d4906,inserted_truss_node,False,False,2.0,4906.0,3.0,top_xneg_ypos
14,-2164.98755828991,-814.0049766840366,3640.478849092845,z5_e03_top_xneg_yneg_d1942,inserted_truss_node,False,False,3.0,1942.0,4.0,top_xneg_yneg
15,-3146.869852409818,-421.2520590360738,5309.678749096688,z5_e03_top_xneg_yneg_d3918,inserted_truss_node,False,False,3.0,3918.0,4.0,top_xneg_yneg
16,-3637.810999469773,-224.8756002120924,6144.27869909861,z5_e03_top_xneg_yneg_d4906,inserted_truss_node,False,False,3.0,4906.0,4.0,top_xneg_yneg
17,2164.987558289909,814.0049766840364,3640.478849092846,z5_e04_top_xpos_ypos_d1942,inserted_truss_node,False,False,4.0,1942.0,5.0,top_xpos_ypos
18,3146.8698524098163,421.2520590360732,5309.678749096689,z5_e04_top_xpos_ypos_d3918,inserted_truss_node,False,False,4.0,3918.0,5.0,top_xpos_ypos
19,3637.81099946977,224.8756002120917,6144.278699098612,z5_e04_top_xpos_ypos_d4906,inserted_truss_node,False,False,4.0,4906.0,5.0,top_xpos_ypos
20,2164.987558289909,-814.0049766840364,3640.478849092846,z5_e05_top_xpos_yneg_d1942,inserted_truss_node,False,False,5.0,1942.0,6.0,top_xpos_yneg
21,3146.8698524098163,-421.2520590360732,5309.678749096689,z5_e05_top_xpos_yneg_d3918,inserted_truss_node,False,False,5.0,3918.0,6.0,top_xpos_yneg
22,3637.81099946977,-224.8756002120917,6144.278699098612,z5_e05_top_xpos_yneg_d4906,inserted_truss_node,False,False,5.0,4906.0,6.0,top_xpos_yneg
23,1252.773393902739,0.0,4573.805766202348,z5_e01_center_high_xpos_d1650,inserted_truss_node_on_center_beam,False,False,1.0,1650.0,0.0,center
24,2680.1758063494963,0.0,5797.293548299569,z5_e01_center_high_xpos_d3530,inserted_truss_node_on_center_beam,False,False,1.0,3530.0,0.0,center
25,3386.2844465492217,0.0,6402.52952561362,z5_e01_center_high_xpos_d4460,inserted_truss_node_on_center_beam,False,False,1.0,4460.0,0.0,center
26,-1252.7733939027398,-2.982793795006522e-13,4573.805766202348,z5_e00_center_high_xneg_d1650,inserted_truss_node_on_center_beam,False,False,0.0,1650.0,0.0,center
27,-2680.175806349498,-6.381370967498801e-13,5797.293548299568,z5_e00_center_high_xneg_d3530,inserted_truss_node_on_center_beam,False,False,0.0,3530.0,0.0,center
28,-3386.284446549224,-8.06258201559339e-13,6402.529525613619,z5_e00_center_high_xneg_d4460,inserted_truss_node_on_center_beam,False,False,0.0,4460.0,0.0,center
29,-1200.0,0.0,2000.0,z5_e10_mid,inserted_midpoint_node,False,False,10.0,1200.0,3.0,top_xneg_ypos
30,1200.0,0.0,2000.0,z5_e12_mid,inserted_midpoint_node,False,False,12.0,1200.0,6.0,top_xpos_yneg
31,-1259.75,1259.75,1000.0,z5_e14_mid,inserted_midpoint_node,False,False,14.0,1003.5637124766918,7.0,base_xneg_ypos
32,-1259.75,-1259.75,1000.0,z5_e15_mid,inserted_midpoint_node,False,False,15.0,1003.5637124766918,8.0,base_xneg_yneg
33,1259.75,1259.75,1000.0,z5_e16_mid,inserted_midpoint_node,False,False,16.0,1003.5637124766918,9.0,base_xpos_ypos
34,1259.75,-1259.75,1000.0,z5_e17_mid,inserted_midpoint_node,False,False,17.0,1003.5637124766918,10.0,base_xpos_yneg
35,-1319.5,0.0,0.0,z5_e19_mid,inserted_midpoint_node,True,False,19.0,1319.5,8.0,base_xneg_yneg
36,1319.5,0.0,0.0,z5_e21_mid,inserted_midpoint_node,True,False,21.0,1319.5,9.0,base_xpos_ypos
37,0.0,0.0,2000.0,z5_truss_xing_e136_137,truss_intersection,False,False,136;137,,,
38,0.0,-1256.9160547727724,1047.4300456439769,z5_truss_xing_e154_155,truss_intersection,False,False,154;155,,,
39,0.0,1256.9160547727724,1047.4300456439769,z5_truss_xing_e156_157,truss_intersection,False,False,156;157,,,
